"","HHID","PN","MB014","MC150","MC270M1","MC018","MZ216","MQ015","MQ020","MQ025","MQ030","MQ035","MQ066","MQ107","MQ115","MQ121"
"2067","025575","040",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,1500
"2068","025581","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2069","025581","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2070","025593","010",NA,5,NA,1,9,50000,NA,NA,NA,NA,NA,NA,NA,NA
"2071","025593","040",NA,5,NA,5,11,50000,NA,NA,NA,NA,NA,NA,NA,NA
"2072","025605","040",NA,5,NA,5,10,NA,22000,NA,NA,NA,NA,NA,NA,NA
"2073","025606","020",NA,1,NA,5,6,35000,NA,NA,NA,NA,NA,NA,NA,NA
"2074","025623","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2075","025623","020",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2076","025624","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2077","025624","040",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2078","025641","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2079","025671","020",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2080","025671","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2081","030091","010",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2082","030107","010",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2083","030107","020",NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2084","030113","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,97,NA,NA
"2085","030118","010",NA,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2086","030122","010",NA,1,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2087","030146","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2088","030176","010",NA,5,97,5,17,NA,78000,NA,NA,NA,NA,NA,NA,NA
"2089","030176","040",NA,5,NA,5,17,NA,78000,NA,NA,NA,NA,NA,NA,NA
"2090","030201","010",NA,5,1,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2091","030219","020",NA,1,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2092","030219","030",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2093","030226","020",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2094","030229","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,761,NA,NA
"2095","030233","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,300
"2096","030237","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2097","030246","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2098","030248","020",NA,5,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2099","030248","030",NA,1,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2100","030313","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2101","030313","020",NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2102","030331","010",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2103","030406","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2104","030406","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2105","030406","040",NA,NA,97,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2106","030406","040",NA,NA,97,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2107","030423","010",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2108","030423","020",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2109","030487","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2110","030523","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2111","030523","030",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2112","030551","010",NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2113","030580","010",NA,5,NA,5,16,NA,48000,NA,NA,NA,NA,NA,NA,NA
"2114","030580","011",15,5,NA,5,NA,NA,48000,NA,NA,NA,NA,NA,NA,NA
"2115","030622","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2116","030622","040",NA,5,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2117","030644","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118","030644","020",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2119","030645","010",NA,5,NA,5,14,NA,99999999,NA,NA,NA,NA,NA,NA,NA
"2120","030652","010",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121","030652","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2122","030681","011",NA,5,NA,5,12,NA,28000,NA,NA,NA,NA,NA,NA,NA
"2123","030683","030",NA,5,NA,5,17,NA,99999999,NA,NA,NA,NA,NA,NA,NA
"2124","030693","010",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2125","030693","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2126","030701","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2127","030733","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2128","030733","030",NA,NA,6,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2129","030760","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2130","030760","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2131","030761","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2132","030769","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2133","030769","020",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2134","030781","010",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2135","030790","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,20000,NA,NA,NA
"2136","030820","010",NA,5,NA,5,8,NA,NA,NA,NA,NA,12000,NA,NA,NA
"2137","030820","011",NA,1,NA,5,6,NA,NA,NA,NA,NA,12000,NA,NA,NA
"2138","030829","011",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,705,NA,NA
"2139","030842","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,1000,300,NA
"2140","030842","040",NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,1000,300,NA
"2141","030873","010",NA,5,NA,5,14,NA,500,NA,NA,NA,NA,NA,NA,NA
"2142","030875","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2143","030892","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,1100
"2144","030892","031",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,1100
"2145","030904","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2146","030904","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2147","030907","020",NA,5,NA,5,13,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"2148","030932","040",NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2149","030950","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2150","030950","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2151","030956","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2152","030971","010",NA,1,NA,5,15,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"2153","030972","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2154","031014","020",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2155","031019","010",NA,1,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2156","031019","010",NA,1,NA,5,15,99999998,NA,NA,NA,NA,NA,NA,NA,NA
"2157","031019","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2158","031019","040",NA,5,NA,5,13,99999998,NA,NA,NA,NA,NA,NA,NA,NA
"2159","031059","030",NA,5,NA,5,12,NA,27000,NA,1500,NA,NA,NA,NA,NA
"2160","031061","010",NA,5,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2161","031126","010",NA,1,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2162","031126","020",NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2163","031135","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2164","031135","040",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165","031208","010",NA,5,2,5,17,250,99999999,NA,NA,NA,NA,NA,NA,NA
"2166","031208","020",NA,5,NA,1,16,250,99999999,NA,NA,NA,NA,NA,NA,NA
"2167","031209","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2168","031216","010",NA,5,NA,1,17,NA,99999999,99999999,NA,NA,NA,NA,NA,NA
"2169","031232","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170","031232","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2171","031252","011",8,5,NA,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2172","031274","011",NA,1,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173","031300","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2174","031300","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,130,NA,NA
"2175","031300","040",NA,5,4,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2176","031300","040",NA,5,4,5,11,NA,NA,NA,NA,NA,NA,130,NA,NA
"2177","031303","010",NA,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2178","031303","020",NA,1,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2179","031318","010",NA,1,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2180","031326","010",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2181","031333","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2182","031337","010",NA,5,NA,5,16,55000,NA,60000,NA,NA,NA,NA,NA,NA
"2183","031337","040",NA,NA,NA,5,12,55000,NA,60000,NA,NA,NA,NA,NA,NA
"2184","031347","010",NA,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2185","031347","020",NA,5,NA,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2186","031355","020",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2187","031355","021",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2188","031378","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2189","031379","010",NA,5,NA,1,12,NA,10000,NA,NA,NA,NA,NA,NA,NA
"2190","031408","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191","031408","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192","031424","010",NA,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2193","031450","010",NA,8,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2194","031460","010",NA,5,NA,5,12,NA,99999999,NA,NA,NA,NA,NA,NA,NA
"2195","031514","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2196","031552","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2197","031552","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2198","031590","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2199","031590","040",NA,5,NA,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2200","031598","020",NA,NA,NA,5,16,6000,6000,6000,NA,NA,NA,NA,NA,NA
"2201","031598","030",NA,5,NA,5,13,6000,6000,6000,NA,NA,NA,NA,NA,NA
"2202","031605","010",NA,1,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2203","031605","040",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2204","031608","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205","031608","020",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2206","031626","030",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2207","031628","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208","031632","010",NA,1,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2209","031632","020",NA,5,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210","031633","020",NA,1,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2211","031646","010",NA,5,NA,5,12,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"2212","031670","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2213","031686","040",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2214","031714","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,108,NA,NA
"2215","031714","011",NA,1,NA,5,0,NA,NA,NA,NA,NA,NA,108,NA,NA
"2216","031766","020",NA,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2217","031766","030",NA,5,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2218","031770","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219","031770","030",NA,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220","031789","020",NA,5,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221","031810","010",NA,5,NA,5,17,80000,NA,NA,NA,NA,NA,NA,NA,NA
"2222","031810","040",16,5,NA,5,NA,80000,NA,NA,NA,NA,NA,NA,NA,NA
"2223","031813","020",NA,5,NA,5,14,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2224","031815","030",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2225","031833","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2226","031836","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227","031865","010",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2228","031865","040",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229","031867","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2230","031867","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2231","031879","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2232","031879","020",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2233","031883","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2234","031883","020",NA,5,NA,5,12,NA,24000,NA,NA,NA,NA,NA,NA,NA
"2235","031883","030",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2236","031883","030",NA,5,NA,5,13,NA,24000,NA,NA,NA,NA,NA,NA,NA
"2237","031890","010",NA,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2238","031890","040",NA,5,2,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239","031891","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2240","031891","020",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241","031913","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2242","031917","010",NA,5,NA,5,16,0,60000,NA,NA,NA,NA,NA,NA,NA
"2243","031917","040",NA,5,NA,5,16,0,60000,NA,NA,NA,NA,NA,NA,NA
"2244","031918","020",NA,5,NA,5,14,NA,45000,NA,NA,NA,NA,NA,NA,NA
"2245","031918","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2246","031918","020",NA,5,NA,5,14,20000,95000,2000,15000,NA,NA,NA,NA,NA
"2247","031918","021",NA,5,NA,5,15,NA,45000,NA,NA,NA,NA,NA,NA,NA
"2248","031918","021",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249","031918","021",NA,5,NA,5,15,20000,95000,2000,15000,NA,NA,NA,NA,NA
"2250","031918","022",17,5,NA,5,99,NA,45000,NA,NA,NA,NA,NA,NA,NA
"2251","031918","022",17,5,NA,5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252","031918","022",17,5,NA,5,99,20000,95000,2000,15000,NA,NA,NA,NA,NA
"2253","031918","030",NA,5,NA,5,17,NA,45000,NA,NA,NA,NA,NA,NA,NA
"2254","031918","030",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2255","031918","030",NA,5,NA,5,17,20000,95000,2000,15000,NA,NA,NA,NA,NA
"2256","031919","010",NA,5,NA,5,17,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2257","031919","040",NA,5,2,5,14,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2258","031923","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2259","031923","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2260","031929","010",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261","031929","020",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262","031946","020",NA,1,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263","031995","010",NA,5,NA,5,16,NA,62000,NA,NA,NA,NA,NA,NA,NA
"2264","032014","010",NA,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265","032014","040",NA,5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266","032043","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2267","032048","010",NA,NA,NA,5,14,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2268","032048","040",NA,5,NA,5,17,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2269","032053","030",NA,1,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2270","032058","010",NA,1,NA,5,12,NA,60000,NA,NA,NA,NA,NA,NA,NA
"2271","032058","010",NA,1,NA,5,12,10000,NA,NA,NA,NA,NA,200,NA,NA
"2272","032058","011",NA,5,NA,5,14,NA,60000,NA,NA,NA,NA,NA,NA,NA
"2273","032058","011",NA,5,NA,5,14,10000,NA,NA,NA,NA,NA,200,NA,NA
"2274","032058","040",NA,5,NA,5,16,NA,60000,NA,NA,NA,NA,NA,NA,NA
"2275","032058","040",NA,5,NA,5,16,10000,NA,NA,NA,NA,NA,200,NA,NA
"2276","032085","010",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2277","032119","020",NA,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2278","032126","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279","032142","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280","032148","020",NA,1,NA,5,12,NA,22022,NA,NA,NA,NA,NA,NA,NA
"2281","032148","030",NA,NA,NA,1,12,NA,22022,NA,NA,NA,NA,NA,NA,NA
"2282","032157","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2283","032157","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2284","032181","040",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285","032188","010",NA,5,NA,5,15,NA,23000,NA,NA,NA,NA,NA,NA,NA
"2286","032202","010",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287","032202","040",NA,NA,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288","032209","020",NA,1,NA,5,13,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"2289","032209","020",NA,1,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290","032209","031",NA,5,NA,5,16,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"2291","032209","031",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292","032214","020",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293","032215","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294","032215","020",NA,5,97,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","032228","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296","032236","020",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297","032236","030",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298","032248","010",NA,5,NA,5,12,NA,1900,NA,NA,NA,NA,NA,NA,NA
"2299","032255","010",NA,5,2,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300","032255","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301","032256","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302","032256","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303","032260","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304","032260","020",NA,5,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","032264","010",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306","032264","020",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307","032265","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308","032265","020",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309","032266","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310","032266","020",NA,5,6,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311","032282","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312","032321","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313","032321","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314","032361","010",NA,5,NA,1,12,NA,26000,NA,2000,NA,NA,NA,NA,NA
"2315","032361","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316","032361","011",NA,5,NA,5,12,NA,26000,NA,2000,NA,NA,NA,NA,NA
"2317","032361","011",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318","032372","020",NA,1,NA,1,16,NA,25000,NA,NA,NA,NA,NA,NA,NA
"2319","032373","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320","032378","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321","032378","040",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2322","032379","010",NA,5,97,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323","032379","020",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2324","032398","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325","032398","020",NA,5,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326","032399","030",NA,1,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2327","032414","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328","032420","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329","032420","020",NA,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2330","032441","020",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2331","032443","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332","032443","020",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2333","032449","010",NA,5,2,5,12,2000,NA,NA,NA,NA,NA,NA,NA,NA
"2334","032449","040",NA,5,NA,5,12,2000,NA,NA,NA,NA,NA,NA,NA,NA
"2335","032463","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336","032463","040",NA,1,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337","032480","010",NA,5,NA,5,17,NA,2000,2000,NA,NA,NA,NA,NA,NA
"2338","032480","040",NA,5,NA,1,13,NA,2000,2000,NA,NA,NA,NA,NA,NA
"2339","032481","010",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,225
"2340","032481","040",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,225
"2341","032529","010",NA,5,NA,5,17,5000,NA,NA,NA,NA,NA,NA,NA,NA
"2342","032542","010",NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2343","032542","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344","032634","020",NA,5,1,5,15,NA,NA,NA,NA,NA,10000,NA,NA,NA
"2345","032634","020",NA,5,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346","032634","021",16,5,NA,5,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA
"2347","032634","021",16,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2348","032634","030",NA,NA,NA,5,12,NA,NA,NA,NA,NA,10000,NA,NA,NA
"2349","032634","030",NA,NA,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350","032664","020",NA,1,6,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2351","032669","020",NA,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352","032669","030",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353","032678","010",NA,NA,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2354","032685","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,9999,NA,NA
"2355","032687","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356","032696","020",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
