"","HHID","PN","MB014","MC150","MC270M1","MC018","MZ216","MQ015","MQ020","MQ025","MQ030","MQ035","MQ066","MQ107","MQ115","MQ121"
"67","010652","010",NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","010672","031",NA,1,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","010696","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","010707","020",NA,5,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","010708","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","010756","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","010756","011",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","010769","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","010769","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","010773","020",NA,5,NA,5,11,12000,NA,NA,NA,NA,NA,NA,NA,NA
"77","010773","030",NA,5,NA,5,17,12000,NA,NA,NA,NA,NA,NA,NA,NA
"78","010775","020",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","010775","030",NA,NA,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","010781","010",NA,5,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","010781","040",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","010818","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","010818","040",NA,5,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","010822","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","010822","040",NA,1,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","010893","010",NA,5,NA,1,17,NA,88000,NA,NA,NA,NA,NA,NA,NA
"87","010896","010",NA,NA,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","010902","010",NA,5,6,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","010917","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,258,NA,NA
"90","010929","010",NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","010929","040",NA,1,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","010962","010",NA,5,NA,5,14,120,13793,NA,NA,NA,NA,NA,NA,NA
"93","010989","010",NA,5,NA,8,9,4000,NA,NA,NA,NA,NA,NA,NA,NA
"94","010989","020",NA,5,NA,5,17,4000,NA,NA,NA,NA,NA,NA,NA,NA
"95","010994","010",NA,1,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","011010","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,299,NA,NA
"97","011067","020",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","011067","030",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","011071","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","011071","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","011074","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","011141","010",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","011141","020",NA,5,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","011179","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","011179","020",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","011212","010",NA,5,2,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","011212","011",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","011219","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,1400
"109","011230","010",NA,5,NA,5,7,NA,NA,NA,NA,NA,NA,865,NA,NA
"110","011248","010",NA,5,NA,1,12,3600,3000,NA,NA,NA,NA,NA,NA,NA
"111","011253","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,269,NA,NA
"112","011256","010",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,1049
"113","011256","040",NA,5,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,1049
"114","011277","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","011332","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","011332","020",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","011333","020",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","011333","030",NA,5,96,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","011341","010",NA,5,3,5,12,NA,99999998,NA,NA,1400,NA,NA,NA,NA
"120","011345","010",NA,NA,NA,5,12,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"121","011345","020",NA,1,NA,5,13,NA,99999998,NA,NA,NA,NA,NA,NA,NA
"122","011347","020",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","011347","030",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","011368","010",NA,5,98,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","011368","020",NA,1,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","011377","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","011377","040",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","011378","010",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","011378","020",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","011379","020",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","011387","020",NA,5,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","011423","010",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,402,NA,NA
"133","011466","040",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,600,NA,NA
"134","011467","010",NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","011477","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","011477","010",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,674,NA,NA
"137","011477","011",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","011477","011",NA,5,NA,5,13,NA,NA,NA,NA,NA,NA,674,NA,NA
"139","011506","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","011563","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","011575","020",NA,5,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","011582","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","011590","020",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","011608","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","011608","040",NA,5,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","011611","010",NA,5,NA,5,17,600,22000,NA,NA,NA,NA,NA,NA,NA
"147","011612","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","011612","040",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","011620","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","011620","040",NA,5,NA,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","011626","010",NA,NA,2,5,11,NA,3100,NA,NA,NA,NA,NA,NA,NA
"152","011626","011",NA,1,NA,5,2,NA,3100,NA,NA,NA,NA,NA,NA,NA
"153","011656","010",NA,NA,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","011667","030",NA,5,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","011671","010",NA,NA,98,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","011671","040",NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","011678","010",NA,5,NA,5,13,NA,4500,NA,NA,NA,NA,NA,NA,NA
"158","011690","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","011694","010",NA,5,98,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","011694","020",NA,5,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","011716","010",NA,5,NA,5,10,NA,NA,NA,NA,NA,NA,0,NA,NA
"162","011765","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","011787","010",NA,5,NA,5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","011798","010",NA,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","011802","010",NA,5,NA,1,14,NA,20000,NA,NA,NA,NA,NA,NA,NA
"166","011802","011",14,5,NA,5,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA
"167","011825","010",NA,5,NA,5,8,NA,9000,NA,NA,NA,NA,NA,NA,NA
"168","011826","011",NA,1,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,1300
"169","011841","010",NA,5,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,600
"170","011854","010",NA,5,NA,1,8,NA,200,NA,5200,NA,NA,NA,NA,NA
"171","011854","020",NA,5,NA,5,5,NA,200,NA,5200,NA,NA,NA,NA,NA
"172","011856","010",NA,5,NA,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","011859","010",NA,1,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","011862","030",NA,5,3,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","011876","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","011881","010",NA,5,NA,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","011881","011",NA,5,NA,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","011902","030",NA,5,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","011902","031",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","011911","010",NA,5,NA,5,14,6000,NA,NA,NA,NA,NA,NA,NA,NA
"181","011911","040",NA,5,NA,5,12,6000,NA,NA,NA,NA,NA,NA,NA,NA
"182","011932","020",NA,5,NA,5,13,NA,500,NA,NA,NA,2000,NA,NA,NA
"183","011933","010",NA,5,NA,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
