"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OY005","OY006","OY007","OY008","OY009","OY010","OY011","OY012","OY013","OY014","OY015","OY016","OY017","OY018","OY019","OY020","OY021","OY022","OY023","OY024","OY025","OY026","OY028","OY029","OY062","OY063","OY064","OY065","OY066","OY067","OY068","OY069","OY070","OY071","OY072","OY073","OY074","OY075","OY076","OY077","OY078","OY079","OY080","OY081","OY082","OY083","OY084","OY085","OY086","OY087","OY088","OY089","OY090","OY091","OY092","OY093","OY094","OY095","OY096","OY097","OY098","OY100","OY101","OY102","OY103","OY104","OY105","OY106","OY107","OY108","OY109","OY110","OY111","OY112","OY113","OY114","OY115","OVDATE","OVERSION","year"
"373","080115","020","0","0","010",5,1,5,169,65,578,588,NA,57,22,36,49,25,31,136,30,56,NA,NA,NA,NA,NA,NA,6,95,39,58,51,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,256,1,260,NA,1,64,247,NA,NA,30,NA,860,351,NA,NA,NA,129,NA,167,24,3883,3,2,"14"
"374","080667","010","0","0","020",5,5,1,94,80,467,658,NA,61,23,17,77,26,46,182,30,72,NA,NA,NA,NA,NA,NA,2,97,53,77,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,12,NA,NA,NA,NA,NA,NA,16,8,9,NA,NA,NA,72,NA,2,302,182,2,68,448,NA,NA,34,NA,941,445,552,26,NA,224,NA,316,16,4878,3,2,"14"
"375","080667","020","0","0","010",1,1,5,319,57,516,610,NA,57,22,35,83,24,47,197,40,54,NA,NA,NA,NA,NA,NA,2,50,38,68,49,8,12,10,NA,NA,NA,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,348,2,301,NA,2,582,58,NA,NA,36,NA,740,302,NA,NA,NA,237,NA,163,17,4299,3,2,"14"
"376","080860","020","0","0",NA,1,1,1,261,109,703,512,NA,50,21,18,58,32,25,143,26,41,NA,NA,NA,NA,NA,NA,1,38,44,67,50,8,11,5,NA,NA,NA,NA,NA,NA,14,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,457,2,298,277,1,633,31,NA,NA,43,NA,711,285,645,40,NA,174,NA,201,12,5397,2,2,"14"
"377","081051","010","0","0",NA,1,1,1,299,211,1011,927,NA,66,21,45,87,58,101,270,22,70,NA,NA,NA,NA,NA,NA,1,86,56,80,197,10,23,26,NA,NA,NA,9,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,475,1,569,242,1,331,115,NA,NA,83,NA,1341,626,674,26,NA,199,NA,237,15,7387,6,2,"14"
"378","081059","010","0","0","020",5,5,1,73,70,642,443,NA,54,21,15,47,22,31,118,16,48,NA,NA,NA,NA,NA,NA,2,60,21,36,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,7,NA,NA,NA,NA,NA,NA,5,7,7,NA,NA,NA,40,NA,2,393,617,1,60,264,NA,NA,42,NA,974,304,1172,183,NA,284,NA,115,10,5673,3,2,"14"
"379","081059","020","0","0","010",1,1,5,386,155,554,569,NA,56,21,26,63,18,29,139,27,69,NA,NA,NA,NA,NA,NA,3,69,46,62,42,6,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,507,1,436,NA,0,68,276,NA,NA,28,NA,637,372,NA,NA,NA,221,NA,231,12,4455,3,2,"14"
"380","081089","010","0","0","040",1,1,1,263,74,905,645,NA,68,21,34,69,21,45,169,33,47,NA,NA,NA,NA,NA,NA,2,85,51,84,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,12,NA,NA,NA,10,11,26,NA,NA,NA,NA,NA,NA,79,365,39,348,177,2,162,60,NA,NA,53,NA,828,450,928,201,NA,120,141,179,21,5966,3,2,"14"
"381","081089","040","0","0","010",5,5,5,87,61,766,656,NA,55,21,20,60,28,56,177,31,70,NA,NA,NA,NA,NA,NA,1,99,49,72,55,8,9,18,NA,NA,NA,NA,NA,NA,9,24,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,0,316,NA,3,64,NA,NA,NA,31,NA,896,360,NA,NA,NA,186,NA,175,22,3624,3,2,"14"
"382","081297","010","0","0","020",1,1,1,441,140,1301,715,NA,57,22,23,106,25,40,191,18,132,NA,NA,NA,NA,NA,NA,4,68,57,79,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,8,7,24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,595,8,1226,293,1,64,NA,NA,NA,96,NA,1036,671,775,65,NA,100,NA,259,24,7858,3,2,"14"
"383","081297","020","0","0","010",5,5,5,70,62,662,618,NA,49,22,27,85,26,28,175,34,66,NA,NA,NA,NA,NA,NA,2,84,56,80,47,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,2,494,NA,1,511,NA,NA,NA,70,NA,975,382,NA,NA,NA,76,NA,208,15,4148,3,2,"14"
"384","081518","010","0","0",NA,1,1,1,221,91,495,500,NA,54,21,20,37,35,31,128,25,61,NA,NA,NA,NA,NA,NA,1,34,31,49,36,14,16,13,6,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,349,1,298,123,3286,124,NA,NA,NA,17,NA,488,370,325,19,NA,159,NA,112,96,7135,3,2,"14"
"385","081851","031","1","1","831",1,1,1,622,121,2036,750,NA,66,21,37,155,23,51,260,27,94,NA,NA,NA,NA,NA,NA,1,57,32,59,52,10,12,20,NA,NA,NA,NA,NA,NA,21,14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,1006,1,860,253,3,210,98,NA,NA,249,NA,1436,508,958,372,NA,207,NA,291,41,10043,7,2,"14"
"386","081869","020","0","0",NA,1,1,1,165,75,647,628,NA,44,22,51,45,22,27,145,50,53,NA,NA,NA,NA,NA,NA,NA,142,51,65,41,6,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,188,0,280,91,2059,62,NA,NA,NA,42,NA,513,342,582,114,NA,64,NA,261,10,6133,3,2,"14"
"387","081933","010","0","0","020",1,5,1,410,132,1547,1052,NA,97,25,34,114,44,32,228,37,118,NA,NA,NA,NA,NA,NA,7,108,55,114,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,43,24,NA,NA,NA,NA,NA,NA,35,40,18,NA,NA,NA,176,NA,1,1143,945,5328,108,NA,NA,NA,54,NA,1315,553,1499,133,NA,405,219,545,45,15449,3,2,"14"
"388","081933","020","0","0","010",5,1,5,677,70,938,725,NA,85,24,43,117,30,21,208,39,53,NA,NA,NA,NA,NA,NA,4,52,52,95,50,19,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,219,3,629,NA,4551,519,49,NA,NA,76,NA,861,453,NA,NA,NA,244,NA,464,280,10773,3,2,"14"
"389","082397","020","0","0","030",5,5,5,85,55,491,517,NA,55,22,15,67,20,25,135,21,55,NA,NA,NA,NA,NA,NA,1,62,19,40,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,23,12,NA,NA,NA,7,8,12,NA,NA,NA,NA,NA,NA,72,NA,1,262,NA,1,413,45,NA,NA,61,NA,535,330,NA,NA,NA,161,NA,262,15,3237,2,2,"14"
"390","082397","030","0","0","020",1,1,1,447,53,567,566,NA,56,22,19,54,18,25,147,39,66,NA,NA,NA,NA,NA,NA,1,64,30,62,55,26,9,12,NA,NA,NA,6,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,593,1,221,160,1,65,NA,NA,NA,26,NA,549,375,546,85,NA,89,NA,144,19,4520,2,2,"14"
"391","082562","010","0","0","011",5,1,1,160,91,1225,757,NA,75,21,52,79,27,39,192,44,56,NA,NA,NA,NA,NA,NA,2,78,53,87,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,33,27,NA,NA,NA,16,21,17,NA,NA,NA,NA,NA,NA,127,349,1,605,461,2,159,NA,NA,NA,54,NA,875,545,653,104,NA,253,NA,372,31,6721,3,2,"14"
"392","082562","011","0","0","010",1,5,5,176,62,910,674,NA,72,22,31,94,20,63,210,31,58,NA,NA,NA,NA,NA,NA,2,74,43,69,55,7,15,7,NA,NA,NA,NA,NA,NA,9,20,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,1,458,NA,2,65,NA,NA,NA,67,NA,608,405,NA,NA,NA,84,NA,195,14,3732,3,2,"14"
"393","082825","020","0","0",NA,1,1,1,485,129,1043,730,NA,78,22,38,61,24,44,157,25,95,NA,NA,NA,NA,NA,NA,3,73,54,96,52,8,6,65,NA,NA,NA,NA,NA,NA,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,1079,2,880,310,4395,92,NA,NA,NA,52,NA,925,525,1208,90,NA,172,NA,415,18,12574,3,2,"14"
"394","082857","010","0","0",NA,1,1,1,278,101,712,825,NA,62,21,29,57,28,102,227,37,63,NA,NA,NA,NA,NA,NA,4,125,78,115,52,12,16,25,NA,NA,NA,NA,NA,NA,12,25,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,377,1,411,292,2,95,NA,NA,NA,107,NA,838,414,637,26,NA,88,NA,429,18,5659,3,2,"14"
"395","082909","010","0","0","040",1,5,1,280,53,673,492,NA,46,21,19,42,21,23,113,26,62,NA,NA,NA,NA,NA,NA,1,76,21,38,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,29,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,0,381,72,2793,118,128,NA,NA,48,NA,546,311,665,1,NA,74,NA,225,14,6877,4,2,"14"
"396","082909","040","0","0","010",5,1,5,127,39,333,331,NA,47,21,21,34,16,18,85,16,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,43,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,251,164,323,NA,2315,567,45,NA,NA,30,NA,489,263,NA,NA,NA,18,NA,262,13,5578,6,2,"14"
"397","082965","010","0","0","020",1,1,1,267,62,558,625,NA,52,21,24,43,25,42,151,41,50,NA,NA,NA,NA,NA,NA,NA,129,49,69,48,18,15,12,7,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,347,1,370,193,1,69,NA,NA,NA,40,NA,546,372,722,83,NA,241,NA,22,14,4540,3,2,"14"
"398","082965","020","0","0","010",5,5,5,70,45,479,510,NA,53,21,16,43,18,40,124,22,63,NA,NA,NA,NA,NA,NA,1,86,23,38,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,16,9,NA,NA,NA,NA,NA,NA,6,11,8,NA,NA,NA,59,NA,0,241,NA,1,57,NA,NA,NA,20,NA,525,325,NA,NA,NA,180,NA,208,14,2679,3,2,"14"
"399","083181","010","0","0","020",5,1,1,139,60,786,833,NA,88,23,23,66,19,43,163,34,58,NA,NA,NA,NA,NA,NA,1,113,65,89,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,69,39,13,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,519,1,605,356,1,116,NA,NA,NA,102,NA,1151,446,853,150,NA,204,90,2,15,6487,2,2,"14"
"400","083181","020","0","0","010",1,5,5,322,34,439,665,NA,45,21,47,35,18,28,110,28,71,NA,NA,NA,NA,NA,NA,1,100,57,79,43,9,46,25,NA,NA,NA,NA,NA,NA,13,36,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,0,228,NA,0,635,54,NA,NA,32,NA,625,259,NA,NA,NA,177,NA,178,11,3660,2,2,"14"
"401","083494","010","0","0","020",1,5,1,310,57,577,540,NA,60,21,13,34,18,29,107,25,80,NA,NA,NA,NA,NA,NA,1,95,37,56,44,5,6,4,NA,NA,NA,NA,NA,NA,17,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,1,435,176,2566,88,NA,NA,NA,149,NA,538,380,347,22,NA,133,NA,247,108,6687,3,2,"14"
"402","083494","020","0","0","010",5,1,5,205,44,487,458,NA,41,22,23,42,20,17,101,20,34,NA,NA,NA,NA,NA,NA,1,41,54,70,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,15,NA,NA,NA,27,6,9,NA,NA,NA,NA,NA,NA,79,272,0,279,NA,2586,66,NA,NA,NA,48,NA,484,252,NA,NA,NA,133,NA,519,147,5991,3,2,"14"
"403","084137","010","0","0","020",5,5,5,78,81,562,522,NA,54,21,16,48,24,47,142,21,85,NA,NA,NA,NA,NA,NA,1,98,12,29,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,364,NA,1,664,75,NA,NA,57,NA,728,386,NA,NA,NA,85,NA,212,12,3832,2,2,"14"
"404","084137","020","0","0","010",1,1,1,216,155,556,615,NA,60,22,26,75,27,26,166,37,83,NA,NA,NA,NA,NA,NA,NA,61,53,79,46,8,5,19,NA,NA,NA,6,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,206,0,300,151,0,541,53,NA,NA,61,NA,903,303,743,27,NA,163,NA,105,13,5116,2,2,"14"
"405","084311","020","1","1",NA,1,1,1,303,129,703,759,NA,54,21,24,75,23,35,253,113,98,NA,NA,NA,NA,NA,NA,1,91,53,80,49,11,13,23,NA,NA,NA,14,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,240,1,378,434,1,68,NA,NA,NA,52,NA,988,350,872,86,72,128,135,86,12,5800,6,2,"14"
"406","084311","021","5","1",NA,1,1,1,334,93,525,655,NA,63,21,24,49,19,49,149,31,56,NA,NA,NA,NA,NA,NA,1,110,49,98,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19,22,NA,NA,NA,10,6,12,NA,NA,NA,NA,NA,NA,77,110,1,250,187,2,328,492,NA,NA,35,NA,656,374,488,25,98,173,NA,237,14,5080,6,2,"14"
"407","084317","020","0","0","030",5,5,5,108,48,417,462,NA,49,21,19,45,16,15,95,18,48,NA,NA,NA,NA,NA,NA,NA,42,35,49,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,18,NA,NA,NA,19,19,9,NA,NA,NA,NA,NA,NA,81,NA,1,317,NA,2641,67,NA,NA,NA,41,NA,587,320,NA,NA,NA,157,NA,198,13,5392,7,2,"14"
"408","084317","030","0","0","020",1,1,1,292,48,449,389,NA,50,20,18,41,19,22,105,22,NA,NA,NA,NA,NA,NA,NA,1,42,NA,NA,50,7,22,6,NA,NA,NA,NA,NA,NA,15,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,404,242,298,121,2549,600,339,NA,NA,35,NA,497,393,748,116,NA,106,NA,151,15,7800,7,2,"14"
"409","084614","010","0","0",NA,1,1,1,353,53,588,467,94,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,64,634,NA,NA,102,NA,NA,NA,20,NA,727,NA,254,4,NA,110,NA,NA,20,3449,2,2,"14"
"410","085096","020","0","0",NA,1,1,1,315,126,614,706,NA,109,22,23,135,27,23,207,22,79,NA,NA,NA,NA,NA,NA,4,55,53,81,54,12,11,19,NA,NA,NA,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,326,1,381,134,1,92,NA,NA,NA,53,NA,1012,539,679,26,NA,109,NA,287,14,5423,3,2,"14"
"411","085920","010","0","0","040",1,1,1,334,78,488,511,NA,59,21,16,71,22,24,136,16,60,NA,NA,NA,NA,NA,NA,2,37,37,66,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,11,NA,NA,NA,5,7,13,NA,NA,NA,NA,NA,NA,51,440,3,341,154,3610,104,NA,NA,NA,23,NA,463,378,482,96,NA,209,NA,248,17,8000,2,2,"14"
"412","085920","040","0","0","010",5,5,5,74,72,527,548,NA,50,22,24,57,29,20,135,27,73,NA,NA,NA,NA,NA,NA,2,49,54,79,54,8,9,7,NA,NA,NA,5,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,3,358,NA,2805,112,NA,NA,NA,65,NA,447,306,NA,NA,NA,168,NA,235,15,5751,2,2,"14"
"413","085991","010","0","0","040",1,1,1,282,46,465,450,NA,50,20,30,39,16,19,97,22,44,NA,NA,NA,NA,NA,NA,2,38,51,70,45,6,13,5,NA,NA,NA,NA,NA,NA,14,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,465,0,237,202,2761,830,21,NA,NA,29,NA,485,286,716,166,NA,191,185,266,11,8099,4,2,"14"
"414","085991","040","0","0","010",5,5,5,95,16,332,35,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,337,NA,NA,274,24,NA,NA,36,NA,431,NA,NA,NA,NA,122,NA,55,98,2114,6,2,"14"
"415","086056","020","0","0",NA,1,1,1,445,128,857,1022,NA,79,22,84,52,35,125,306,87,105,NA,NA,NA,NA,NA,NA,3,101,66,122,69,15,14,42,31,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,285,3,699,196,4741,148,NA,NA,NA,81,NA,771,449,563,30,NA,196,NA,119,21,10758,2,2,"14"
"416","086102","010","0","0","040",5,5,1,88,68,1398,794,NA,71,23,30,49,20,33,196,86,82,NA,NA,NA,NA,NA,NA,18,63,56,78,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,65,157,NA,8,479,313,3862,570,37,NA,NA,68,NA,820,425,1884,98,NA,236,NA,313,183,11659,4,2,"14"
"417","086102","040","0","0","010",1,1,5,270,78,1046,1286,NA,327,22,45,157,41,58,302,44,104,NA,NA,NA,NA,NA,NA,3,115,52,92,76,12,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,363,2,968,NA,3691,115,NA,NA,NA,117,NA,1090,479,NA,NA,NA,238,NA,416,322,10496,3,2,"14"
"418","086117","010","0","0",NA,1,1,1,424,57,643,270,7,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,10,485,172,NA,79,NA,NA,NA,27,NA,797,NA,650,36,NA,213,NA,70,187,4661,3,2,"14"
"419","086307","010","0","0","020",1,5,1,288,48,818,555,NA,51,24,16,66,18,27,133,20,52,NA,NA,NA,NA,NA,NA,2,56,46,70,44,10,30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,337,323,259,0,551,72,NA,NA,46,NA,579,330,507,50,NA,138,NA,149,20,5075,3,2,"14"
"420","086307","020","0","0","010",5,1,5,191,47,939,578,NA,55,21,22,71,18,43,163,26,46,NA,NA,NA,NA,NA,NA,1,72,55,70,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,15,17,NA,NA,NA,6,16,16,NA,NA,NA,NA,NA,NA,82,599,0,553,NA,2,67,NA,NA,NA,282,NA,910,499,NA,NA,NA,169,NA,193,13,5045,3,2,"14"
"421","086354","010","0","0","011",1,1,1,543,102,677,645,NA,64,22,60,83,24,21,184,53,79,NA,NA,NA,NA,NA,NA,2,54,37,68,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,8,10,NA,NA,NA,NA,NA,NA,10,9,10,NA,NA,NA,56,508,5,346,199,1,71,NA,NA,NA,58,NA,735,403,523,27,NA,180,NA,158,15,5243,3,2,"14"
"422","086354","011","0","0","010",5,5,5,150,50,723,557,NA,47,22,40,81,21,31,175,41,52,NA,NA,NA,NA,NA,NA,1,69,35,52,46,11,6,7,NA,NA,NA,7,6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,1,325,NA,1,80,NA,NA,NA,22,NA,595,255,NA,NA,NA,122,NA,110,11,3002,3,2,"14"
"423","086473","010","0","0",NA,1,1,1,238,110,496,684,NA,70,21,11,60,15,29,132,27,48,NA,NA,NA,NA,NA,NA,2,125,45,78,54,13,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,61,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,804,2,269,217,1,63,174,NA,NA,48,NA,506,406,711,25,NA,234,NA,390,16,5399,6,2,"14"
"424","086506","020","0","0","030",5,5,5,100,53,471,755,NA,201,21,18,48,23,37,133,23,94,NA,NA,NA,NA,NA,NA,2,84,53,72,53,11,12,25,6,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,2,346,NA,3499,87,136,NA,NA,27,NA,592,261,NA,NA,NA,136,NA,204,17,6689,4,2,"14"
"425","086506","030","0","0","020",1,1,1,433,71,592,785,NA,56,21,78,94,21,29,200,54,66,NA,NA,NA,NA,NA,NA,4,102,55,84,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,35,18,NA,NA,NA,7,24,21,NA,NA,NA,NA,NA,NA,117,443,1,474,638,3157,1305,32,NA,NA,42,NA,1028,492,950,162,NA,306,20,242,17,11218,4,2,"14"
"426","086614","040","0","0",NA,1,1,1,238,46,661,400,NA,47,22,12,55,29,70,171,15,NA,NA,NA,NA,NA,NA,NA,1,42,NA,NA,41,21,8,8,NA,NA,NA,8,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,408,1,269,131,2549,130,NA,NA,NA,92,NA,484,310,464,49,307,19,NA,165,15,6758,3,2,"14"
"427","086648","020","0","0","021",1,1,1,861,246,959,786,NA,89,23,15,135,77,50,293,23,118,NA,NA,NA,NA,NA,NA,15,36,7,62,59,10,14,10,NA,NA,NA,11,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1137,3,725,695,5663,128,NA,NA,NA,110,NA,1184,602,1045,125,NA,183,NA,510,22,15057,3,2,"14"
"428","086648","021","0","0","020",5,5,5,191,1275,1174,1062,NA,64,22,24,71,26,62,185,20,89,59,12,19,32,36,158,7,259,13,103,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,9,17,25,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,458,467,NA,4844,1924,46,NA,981,NA,57,906,447,NA,NA,NA,248,NA,283,551,14924,3,2,"14"
"429","086653","011","7","7","811",1,1,1,935,122,736,776,NA,67,21,34,46,25,61,175,39,70,NA,NA,NA,NA,NA,NA,3,139,55,90,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,19,15,NA,NA,NA,42,8,20,NA,NA,NA,NA,NA,NA,113,1216,1,323,679,4038,455,NA,NA,NA,42,NA,774,438,584,85,NA,204,NA,244,339,12019,4,2,"14"
"430","086661","020","0","0",NA,1,1,1,644,164,680,864,NA,63,22,20,74,72,124,304,30,91,NA,NA,NA,NA,NA,NA,5,83,19,117,60,10,9,15,NA,NA,NA,NA,NA,NA,12,16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,543,447,383,337,4379,793,31,NA,NA,44,NA,1061,434,628,63,NA,101,NA,164,19,11791,3,2,"14"
"431","087114","020","1","1","021",1,1,1,588,37,649,599,NA,76,21,54,35,16,18,118,48,53,NA,NA,NA,NA,NA,NA,NA,65,51,65,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,40,21,NA,NA,NA,8,8,7,NA,NA,NA,NA,NA,NA,97,256,0,535,137,3004,59,NA,NA,NA,58,NA,761,422,699,61,NA,157,NA,256,13,8296,4,2,"14"
"432","087114","021","1","1","020",5,5,5,69,54,415,531,NA,57,21,40,43,15,56,169,43,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,51,8,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,187,251,NA,2510,363,NA,NA,NA,22,NA,572,374,NA,NA,NA,26,NA,341,157,5885,4,2,"14"
"433","087114","010","2","2","011",1,1,1,419,67,353,478,NA,52,21,24,34,23,29,114,27,48,NA,NA,NA,NA,NA,NA,1,38,47,64,45,9,8,6,NA,NA,NA,NA,NA,NA,18,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,484,0,452,170,3559,170,NA,NA,NA,25,NA,785,365,741,48,NA,150,NA,261,311,8841,4,2,"14"
