"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MX003_R","MX007_R","MZ077_R","MX060_R","MX065_R","MZ066_R","MX004_R","MX067_R","MZ008_R","MZ009_R","MZ010_R","MZ011_R","MZ012_R","MZ013_R","MZ014_R","MZ015_R","MZ016_R","MZ142_1","MZ143_1","MZ200_1","MZ142_2","MZ143_2","MZ200_2","MZ142_3","MZ143_3","MZ200_3","MZ142_4","MZ143_4","MZ200_4","MZ076","MZ078","MZ080","MZ081","MZ087","MZ089","MZ090","MZ092","MZ093","MZ095","MZ096","MZ098","MZ099","MZ100","MZ101","MZ102","MZ103","MZ104","MZ105","MZ106","MZ107","MZ108","MZ110","MZ112","MZ113","MZ114","MZ117","MZ118","MZ119","MZ120","MZ122","MZ123","MZ124","MZ125","MZ126","MZ127","MZ133","MZ134","MZ136","MZ137","MZ138","MZ151","MZ153","MZ154","MZ155","MZ156","MZ157","MZ158","MZ159","MZ160","MZ161","MZ162","MZ163","MZ164","MZ165","MZ166","MZ167","MZ168","MZ169","MZ170","MZ171","MZ172","MZ173","MZ174","MZ175","MZ176","MZ177","MZ178","MZ179","MZ180","MZ181","MZ182","MZ183","MZ184","MZ185","MZ186","MZ187","MZ188","MZ189","MZ190","MZ198","MZ199","MZ201","MZ204","MZ205","MZ206","MZ211","MZ212","MZ213","MZ216","MZ219","MZ230","MZ231","MZ232","MX090_R","MX501_R","MX502_R","MX503_R","MX504_R","MX505_R","MX506_R","MX507_R","MX508_R","MX509_R","MX510_R","MX511_R","MX512_R","MX513_R","MX514_R","MX515_R","MX516_R","MX517_R","MX518_R","MX519_R","MX520_R","MX521_R","MX522_R","MX523_R","MX525_R","MZ240","MZ241","MZ242","MZ244","MZ246","MZ255","MZ256","MZ257","MVDATE","MVERSION","year"
"11","012394","010","0","0",NA,1,1,1,1,3,3,2,6,6,3,1934,5,3,5,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,3,1,5,4,2008,1,NA,5,5,5,1,5,5,5,1,5,5,1,5,2,1,13,5,5,5,5,5,5,1,1,NA,5,5,1,NA,NA,NA,5,0,0,50001,149999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1600,0,0,0,0,0,0,0,0,600,600,0,0,1,NA,5,1,1,2,1,10,1,1,5,5,1,2,2,2,1,2,1,2,2,1,2,3,3,2,1,1,3,3,2,2,3,7,55,1,2,5,5,1,NA,507,1,NA,NA,7,5.1,"10"
"12","012979","010","0","0","020",5,5,1,2,1,1,1,1,1,12,1936,5,4,2,1,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,2,5,5,7,2008,1,NA,5,5,5,1,5,5,5,5,5,5,5,5,5,1,2,5,5,5,1,5,5,1,5,5,5,5,1,NA,NA,NA,5,0,0,150001,499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,0,0,0,0,0,0,0,0,1,NA,5,1,1,0,0,12,5,1,5,5,3,1,1,2,1,1,1,2,2,1,2,2,1,2,3,2,1,3,2,2,1,67,78,8,2,5,5,1,NA,164,1,NA,NA,7,5.1,"10"
"13","012979","020","0","0","010",1,1,5,1,2,2,2,1,1,4,1936,5,2,4,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,5,5,10,2008,1,NA,5,5,5,1,5,1,5,5,5,5,1,5,5,1,2,5,5,5,1,5,1,1,5,5,5,5,3,1,24,50,5,0,0,150001,499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,0,0,0,0,0,0,0,0,1,NA,5,NA,NA,0,5,12,5,1,5,5,3,1,2,1,1,1,2,2,1,2,2,3,3,1,1,2,3,2,2,3,3,8,37,1,1,5,5,1,5,348,1,NA,NA,7,5.1,"10"
"14","013062","010","0","0",NA,1,1,1,1,3,3,2,6,6,7,1935,5,1,10,4,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,5,5,3,2008,1,NA,5,5,5,1,1,5,5,5,5,5,1,5,5,1,12,5,5,5,5,5,1,5,1,NA,5,5,3,1,24,46,5,0,0,65000,65000,0,0,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,0,0,1,2003,1,NA,NA,1,1,12,1,1,5,5,1,1,1,1,2,1,1,1,2,1,1,3,1,3,1,3,3,2,1,2,1,43,44,1,1,5,5,1,5,605,1,NA,NA,7,5.1,"10"
"15","013063","010","0","0",NA,1,1,1,1,3,3,2,6,6,1,1941,5,7,2,4,2,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,2,5,5,6,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,5,6,5,5,5,1,5,1,1,1,NA,5,1,5,1,NA,NA,1,0,0,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4999,0,0,0,99999996,0,0,0,0,0,0,0,0,1,NA,5,NA,NA,0,0,17,5,1,5,5,3,2,2,2,2,2,1,1,2,2,1,1,1,3,3,3,3,2,2,3,2,27,4,4,1,5,5,1,1,904,1,1,NA,7,5.1,"10"
"16","013208","010","0","0","040",5,1,1,2,3,3,2,1,1,3,1931,5,7,3,4,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,1,5,4,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,9,5,5,5,1,5,1,5,1,1,5,5,3,2,25,48,5,0,0,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,25000,0,0,2000,2000,0,0,0,0,1000,1000,0,0,1,NA,5,NA,NA,1,1,13,5,1,5,5,3,2,2,1,1,2,1,1,1,1,2,1,1,3,1,2,3,2,2,3,2,49,70,5,1,5,5,1,NA,111,1,NA,NA,7,5.1,"10"
"17","013208","040","0","0","010",1,5,5,1,4,4,1,1,1,2,1930,5,3,7,3,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,3,5,5,5,2008,1,NA,5,5,5,5,1,5,5,5,5,5,5,5,5,1,9,5,5,5,1,5,1,1,1,1,5,1,3,1,20,NA,5,0,0,300000,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,25000,0,0,2000,2000,0,0,0,0,1000,1000,0,0,1,1997,1,NA,NA,1,2,13,5,1,5,1,3,1,2,1,1,1,2,2,2,2,1,1,2,2,2,3,3,3,3,2,3,79,10,5,2,1,5,1,1,334,1,NA,NA,7,5.1,"10"
"18","013211","010","0","0","020",1,1,1,1,3,3,1,1,1,7,1935,5,2,6,1,2,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,1,5,5,5,2008,1,NA,5,5,5,1,1,5,5,5,5,5,1,5,5,1,6,5,5,5,1,5,5,1,1,1,5,5,1,NA,NA,NA,5,0,0,210000,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999996,0,0,5001,24999,0,0,0,0,0,99999996,0,0,1,2001,1,1,1,NA,NA,12,5,1,5,5,3,2,1,1,2,1,2,1,2,2,1,3,1,3,1,3,1,1,2,3,1,90,46,6,2,1,5,1,NA,679,1,NA,NA,5,5.1,"10"
"19","013318","010","0","0","020",5,1,1,2,3,3,2,1,1,3,1936,5,1,9,4,2,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,3,5,5,4,2008,1,NA,5,5,5,1,5,5,5,5,5,5,1,5,5,1,0,5,5,5,5,5,1,1,5,5,5,1,3,1,16,20,5,0,0,225000,225000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999996,0,0,0,0,0,0,0,0,1,NA,5,NA,NA,5,0,17,5,1,5,5,1,2,1,2,2,1,1,2,1,2,1,1,3,1,1,3,3,3,1,3,2,97,65,5,1,5,5,1,NA,326,1,NA,NA,7,5.1,"10"
"20","013318","020","0","0","010",1,5,5,1,4,4,1,1,1,2,1934,5,9,1,3,1,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,2,5,5,5,2008,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,5,5,5,5,5,1,5,1,1,5,1,5,1,36,52,1,0,0,225000,225000,0,0,0,0,0,0,75000,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999996,0,0,0,0,0,0,0,0,1,NA,1,NA,NA,2,7,16,5,5,5,5,1,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,1,1,3,1,1,31,97,8,2,5,5,1,5,874,1,NA,NA,7,5.1,"10"
