"","HHID","PN","PSUBHH","OSUBHH","PPN_SP","PCSR","PFAMR","PFINR","PP155","PP156","PP195","PP002","PP196","PP166","PP197","PP168","PP005","PP006","PP059","PP007","PP009","PP014","PP015","PP016","PP017","PP123","PP018","PP181","PP182","PP020","PP028","PP102","PP029","PP157","PP107","PP175","PP176","PP177","PP178","PP032","PP111","PP112","PP183","PP047","PP113","PP149","PP150","PP180","PP097","PP041","PP185","PP056","PVDATE","PVERSION","year"
"11","011179","010","0","0","020",5,5,5,13,0,1,1,NA,NA,NA,NA,50,50,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,5,80,NA,80,50,25,50,NA,50,80,NA,2,80,50,3,NA,1,1,3,1,"16"
"12","011179","020","0","0","010",1,1,1,14,0,1,1,"more",10,"gained",10,0,NA,NA,100,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,10,10,10,50,NA,50,100,NA,2,50,NA,2,NA,3,1,3,1,"16"
"13","011608","010","0","0",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,"16"
"14","011671","040","0","0",NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,"16"
"15","012292","010","0","0","020",1,1,1,14,1,1,1,"less",50,"fallen",50,20,3,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,30,60,NA,50,50,10,40,NA,70,998,NA,1,NA,NA,3,NA,3,1,3,1,"16"
"16","012292","020","0","0","010",5,5,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,"16"
"17","013817","010","1","1","011",1,5,1,15,0,1,1,"more",80,"fallen",10,80,60,10,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,70,70,NA,60,40,5,50,NA,50,70,NA,2,60,5,2,NA,2,1,4,1,"16"
"18","013817","011","1","1","010",5,1,5,13,0,1,1,NA,NA,NA,NA,100,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,60,100,NA,50,0,0,80,NA,80,60,NA,2,80,80,2,NA,3,1,4,1,"16"
"19","013817","040","2","2","041",5,1,1,15,0,1,1,"less",50,"fallen",50,100,50,10,NA,1,50,75,NA,NA,NA,NA,50,0,NA,NA,NA,50,2,50,50,NA,50,20,10,10,NA,50,50,2,1,NA,NA,3,NA,3,1,5,1,"16"
"20","013817","041","2","2","040",1,5,5,13,0,1,1,NA,NA,NA,NA,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,100,NA,100,70,0,50,NA,100,40,NA,2,25,100,3,NA,2,1,4,1,"16"
"21","014436","021","2","2",NA,1,1,1,15,0,1,1,"less",20,"gained",15,80,5,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,50,10,NA,5,0,5,50,NA,60,25,NA,2,20,40,3,NA,3,1,4,1,"16"
"22","014605","010","0","0","040",1,5,1,15,0,1,1,"more",10,"fallen",5,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,10,NA,10,0,5,50,NA,80,75,NA,2,5,15,2,NA,3,1,4,1,"16"
"23","014605","040","0","0","010",5,1,5,13,1,1,1,NA,NA,NA,NA,90,90,80,NA,1,50,80,NA,100,NA,100,100,80,NA,45,NA,0,NA,NA,10,NA,0,NA,NA,NA,100,100,998,NA,1,NA,NA,3,NA,2,1,5,1,"16"
