"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MP155","MP156","MP002","MP166","MP167","MP168","MP169","MP170","MP005","MP006","MP059","MP007","MP014","MP015","MP016","MP017","MP164","MP123","MP172","MP173","MP174","MP018","MP020","MP028","MP102","MP029","MP157","MP175","MP176","MP177","MP178","MP032","MP110","MP179","MP111","MP112","MP047","MP113","MP149","MP150","MP180","MP097","MP056","MVDATE","MVERSION","year"
"14","011608","010","0","0","040",1,1,5,11,0,1,NA,NA,NA,NA,NA,100,100,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,10,NA,NA,0,100,NA,100,NA,50,2,1,NA,NA,1,1,6,5.1,"10"
"15","011608","040","0","0","010",5,5,1,14,0,1,30,NA,75,2,1,100,100,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,50,NA,NA,0,100,NA,100,NA,10,NA,2,0,50,3,1,6,5.1,"10"
"16","011671","010","0","0","040",5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"17","011671","040","0","0","010",1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"18","012292","010","0","0","020",1,1,1,15,0,1,5,NA,5,2,2,70,70,0,NA,0,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,NA,30,30,25,100,NA,0,NA,50,2,1,NA,NA,3,1,4,5.1,"10"
"19","012292","020","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.1,"10"
"20","012562","011","0","0","010",1,1,1,15,0,1,0,NA,0,2,1,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,100,NA,100,50,0,100,NA,0,NA,20,NA,2,0,0,2,1,7,5.1,"10"
"21","012786","010","0","0",NA,1,1,1,10,0,1,NA,NA,NA,NA,NA,100,10,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,0,100,NA,70,NA,0,NA,2,NA,60,3,1,7,5.1,"10"
"22","012909","020","0","0",NA,1,1,1,14,0,1,30,NA,5,2,2,50,60,50,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,NA,90,70,50,50,2,NA,NA,10,NA,2,3,15,2,1,7,5.1,"10"
"23","013817","010","1","1","011",1,5,1,15,0,1,70,NA,40,2,2,90,50,15,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,60,NA,40,20,5,95,NA,90,NA,70,NA,2,60,20,2,1,7,5.1,"10"
"24","013817","011","1","1","010",5,1,5,13,0,1,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,10,NA,5,0,0,50,2,80,NA,80,NA,2,80,50,3,1,7,5.1,"10"
"25","013817","040","2","2","041",5,1,1,17,0,1,50,1,50,2,2,100,60,0,NA,50,100,NA,NA,1,NA,NA,NA,NA,0,NA,100,NA,75,NA,30,NA,10,0,NA,70,NA,25,NA,60,NA,2,40,0,3,1,7,5.1,"10"
"26","013817","041","2","2","040",1,5,5,12,0,1,NA,NA,NA,NA,NA,90,10,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,30,NA,0,NA,0,40,NA,80,NA,20,NA,2,30,40,3,1,7,5.1,"10"
"27","014436","020","2","2","021",1,1,1,15,0,1,10,NA,10,2,1,90,5,0,NA,NA,NA,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,75,NA,10,2,25,50,2,5,NA,20,NA,2,20,20,2,1,6,5.1,"10"
"28","014436","021","2","2","020",5,5,5,13,0,1,NA,NA,NA,NA,NA,75,5,0,NA,NA,NA,20,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,50,NA,10,5,10,45,NA,10,NA,20,NA,2,20,20,2,1,6,5.1,"10"
"29","014605","010","0","0","040",1,5,1,14,0,1,10,NA,0,2,1,100,100,5,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,0,75,NA,NA,0,80,NA,100,NA,90,NA,2,10,30,2,1,7,5.1,"10"
"30","014605","040","0","0","010",5,1,5,15,0,1,NA,NA,NA,NA,NA,100,100,20,NA,0,0,NA,100,1,NA,1,NA,NA,100,NA,50,1,50,NA,70,NA,0,NA,NA,50,2,NA,70,25,NA,2,0,998,3,1,7,5.1,"10"
"31","014754","010","1","1","011",1,1,1,13,0,1,50,2,NA,1,NA,90,40,0,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,70,NA,30,10,30,80,NA,80,NA,50,2,1,NA,NA,2,1,7,5.1,"10"
"32","014754","040","2","2","041",1,1,1,16,0,1,20,NA,0,2,1,100,100,50,NA,NA,NA,20,5,1,NA,NA,NA,NA,0,NA,15,NA,5,NA,85,NA,85,10,NA,60,NA,NA,75,50,2,1,NA,NA,2,1,7,5.1,"10"
"33","014802","010","0","0","020",1,1,1,13,0,1,5,NA,10,2,1,0,NA,NA,5,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,NA,0,NA,0,50,2,20,NA,10,NA,2,5,0,3,1,7,5.1,"10"
"34","014802","020","0","0","010",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"35","014955","010","0","0","040",1,1,5,11,0,1,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,20,NA,0,NA,0,30,NA,80,NA,10,NA,2,10,70,3,1,7,5.1,"10"
"36","014955","040","0","0","010",5,5,1,15,0,1,10,NA,30,2,1,0,NA,NA,0,0,20,NA,NA,1,NA,NA,NA,NA,100,NA,60,NA,50,NA,0,20,NA,NA,NA,30,NA,NA,30,30,NA,2,10,20,3,1,7,5.1,"10"
"37","014992","010","0","0",NA,1,1,1,14,1,1,0,NA,80,2,1,100,50,0,NA,50,30,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,1,80,NA,30,0,0,0,NA,NA,NA,998,NA,1,NA,NA,3,1,7,5.1,"10"
"38","015172","010","0","0",NA,1,1,1,14,0,1,0,NA,0,2,1,100,100,0,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,40,NA,0,NA,0,50,2,20,NA,10,NA,2,0,0,2,1,7,5.1,"10"
"39","015189","010","0","0","040",5,1,1,12,1,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,70,NA,50,0,50,30,NA,80,NA,30,NA,2,998,NA,3,1,7,5.1,"10"
"40","015189","040","0","0","010",1,5,5,12,1,1,NA,NA,NA,NA,NA,0,NA,NA,10,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,NA,20,10,50,70,NA,60,NA,20,NA,2,998,NA,3,1,7,5.1,"10"
"41","015726","040","0","0",NA,1,1,1,13,0,1,0,NA,0,2,1,80,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,15,NA,NA,50,80,NA,50,NA,20,NA,2,0,25,2,1,7,5.1,"10"
"42","015935","011","0","0","811",1,1,1,15,0,1,10,NA,0,2,1,100,100,70,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,100,NA,20,0,0,100,NA,100,NA,100,NA,2,10,NA,1,1,7,5.1,"10"
"43","016064","010","0","0","040",5,5,1,14,0,1,50,2,NA,1,NA,90,90,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,100,NA,100,100,2,50,1,30,NA,65,NA,2,10,5,2,1,7,5.1,"10"
"44","016064","040","0","0","010",1,1,5,12,0,1,NA,NA,NA,NA,NA,80,80,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,100,NA,100,20,20,100,NA,100,NA,50,2,1,NA,NA,3,1,7,5.1,"10"
"45","016174","010","0","0","040",5,5,1,13,0,1,100,NA,10,2,2,50,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,0,100,NA,100,NA,20,NA,2,40,0,3,1,7,5.1,"10"
"46","016174","040","0","0","010",1,1,5,13,0,1,NA,NA,NA,NA,NA,100,70,5,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,10,NA,5,0,5,50,2,100,NA,50,2,1,NA,NA,3,1,7,5.1,"10"
"47","016454","020","0","0",NA,1,1,1,12,1,1,NA,NA,NA,NA,NA,0,NA,NA,50,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,25,NA,25,0,0,50,2,20,NA,998,NA,1,NA,NA,3,1,7,5.1,"10"
"48","016827","010","0","0","040",1,1,1,15,1,1,25,NA,60,2,1,100,10,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,NA,25,10,998,75,NA,80,NA,60,NA,2,50,50,3,1,7,5.1,"10"
"49","016827","040","0","0","010",5,5,5,10,0,1,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,25,NA,NA,0,100,NA,100,NA,0,NA,2,NA,4,3,1,7,5.1,"10"
"50","016856","010","0","0","040",1,5,1,15,0,1,60,NA,30,2,2,100,100,50,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,50,NA,0,NA,10,100,NA,25,NA,100,NA,2,0,NA,1,1,7,5.1,"10"
"51","016856","040","0","0","010",5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"52","016904","010","0","0","011",1,1,1,14,0,1,20,NA,10,2,1,90,90,20,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,1,30,NA,10,10,20,70,NA,50,NA,50,2,1,NA,NA,3,1,7,5.1,"10"
"53","016904","011","0","0","010",5,5,5,13,0,1,NA,NA,NA,NA,NA,100,100,80,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,50,NA,10,0,0,80,NA,20,NA,100,NA,2,50,NA,1,1,7,5.1,"10"
"54","017042","010","0","0","020",5,5,5,12,0,1,NA,NA,NA,NA,NA,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,100,NA,100,50,NA,100,NA,100,NA,60,NA,2,10,20,2,4,7,5.1,"10"
"55","017042","020","0","0","010",1,1,1,14,0,1,10,NA,0,2,2,100,100,100,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,0,50,NA,NA,0,100,NA,50,NA,20,NA,2,20,0,2,1,1,5.1,"10"
"56","017075","010","0","0","020",5,5,5,11,0,1,NA,NA,NA,NA,NA,80,50,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,90,NA,10,0,10,80,NA,80,NA,50,2,1,NA,NA,3,1,4,5.1,"10"
"57","017075","020","0","0","010",1,1,1,14,1,1,25,NA,10,2,2,75,50,2,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,NA,15,20,20,10,NA,50,NA,998,NA,1,NA,NA,3,1,4,5.1,"10"
"58","017279","010","0","0","040",1,5,1,16,0,1,10,NA,0,2,2,20,0,NA,NA,50,10,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,50,1,70,NA,40,25,20,50,2,50,NA,20,NA,2,10,25,2,1,6,5.1,"10"
"59","017279","040","0","0","010",5,1,5,13,0,1,NA,NA,NA,NA,NA,100,50,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,NA,60,0,0,50,1,50,NA,60,NA,2,40,50,3,1,6,5.1,"10"
"60","017491","010","0","0","020",5,5,1,12,1,1,50,2,NA,1,NA,100,90,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,50,NA,0,NA,998,80,NA,80,NA,50,2,1,NA,NA,3,1,2,5.1,"10"
"61","017491","020","0","0","010",1,1,5,11,0,1,NA,NA,NA,NA,NA,5,100,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,0,95,NA,NA,0,100,NA,90,NA,50,2,1,NA,NA,3,1,2,5.1,"10"
"62","017833","010","0","0","020",5,1,1,11,0,1,0,NA,0,2,1,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,100,NA,NA,0,0,NA,NA,NA,0,NA,2,NA,0,3,2,7,5.1,"10"
"63","017833","020","0","0","010",1,5,5,10,0,1,NA,NA,NA,NA,NA,0,NA,NA,100,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,50,NA,0,NA,0,0,NA,NA,NA,100,NA,2,20,NA,3,2,7,5.1,"10"
"64","017862","010","0","0","040",1,5,1,12,0,1,50,2,NA,1,NA,0,NA,NA,0,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0,0,NA,NA,10,40,NA,40,NA,70,NA,2,30,15,2,1,7,5.1,"10"
"65","017862","040","0","0","010",5,1,5,12,1,1,NA,NA,NA,NA,NA,80,80,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,40,NA,10,0,0,50,2,75,NA,998,NA,1,NA,NA,2,1,7,5.1,"10"
"66","017980","010","0","0","020",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"67","017980","020","0","0","010",5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.1,"10"
"68","017986","020","0","0",NA,1,1,1,13,1,1,20,NA,0,2,1,80,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,100,NA,3,0,0,50,1,10,NA,40,NA,2,998,NA,3,1,5,5.1,"10"
"69","018212","010","0","0","011",1,1,1,11,4,1,998,NA,NA,1,NA,100,0,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,0,0,NA,NA,0,998,NA,80,NA,998,NA,1,NA,NA,8,1,7,5.1,"10"
"70","018212","011","0","0","010",5,5,5,10,2,1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,0,0,NA,NA,0,0,NA,NA,NA,100,NA,2,998,NA,1,1,7,5.1,"10"
"71","018525","020","0","0","030",1,1,5,13,0,1,NA,NA,NA,NA,NA,30,20,0,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,30,NA,20,10,0,50,2,50,NA,20,NA,2,20,30,3,1,7,5.1,"10"
"72","018525","030","0","0","020",5,5,1,15,0,1,20,NA,2,2,1,100,0,NA,NA,30,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,NA,5,2,2,100,NA,NA,100,50,1,2,10,10,2,1,7,5.1,"10"
"73","018539","010","0","0","011",1,1,1,8,2,1,10,NA,10,2,1,90,999,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,30,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,5.1,"10"
"74","018782","010","0","0","040",5,5,1,16,0,1,40,NA,10,2,1,100,100,80,NA,100,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,20,NA,10,10,5,100,NA,60,NA,60,NA,2,40,30,2,1,4,5.1,"10"
"75","018782","040","0","0","010",1,1,5,14,0,1,NA,NA,NA,NA,NA,100,100,100,NA,100,20,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50,2,10,NA,10,10,10,60,NA,50,NA,60,NA,2,50,50,3,1,4,5.1,"10"
"76","018889","010","0","0","040",5,5,1,14,0,1,40,NA,10,2,1,100,60,10,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,10,NA,0,NA,60,100,NA,100,NA,10,NA,2,10,60,2,1,5,5.1,"10"
"77","018889","040","0","0","010",1,1,5,13,0,1,NA,NA,NA,NA,NA,90,75,20,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,80,NA,25,NA,100,NA,10,5,NA,100,NA,95,NA,20,NA,2,20,90,3,1,5,5.1,"10"
