"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NY005","NY006","NY007","NY008","NY009","NY010","NY011","NY012","NY013","NY014","NY015","NY016","NY017","NY018","NY019","NY020","NY021","NY022","NY023","NY024","NY025","NY026","NY027","NY028","NY029","NY030","NY031","NY032","NY033","NY034","NY035","NY036","NY037","NY038","NY039","NY040","NY041","NY042","NY043","NY044","NY045","NY046","NY047","NY048","NY049","NY050","NY051","NY052","NY053","NY054","NY055","NY056","NY057","NY058","NY059","NY060","NY061","NY062","NY063","NY064","NY065","NY066","NY067","NY068","NY069","NY070","NY071","NY072","NY073","NY074","NY075","NY076","NY077","NY078","NY079","NY080","NY081","NY082","NY083","NY084","NY085","NY086","NY087","NY088","NY089","NY090","NY091","NY092","NY093","NY094","NY095","NY096","NY097","NY098","NY099","NY100","NY101","NY102","NY103","NY104","NY105","NY106","NY107","NY108","NY109","NY110","NY111","NY112","NY113","NY114","NY115","NVDATE","NVERSION","year"
"207","040717","010","0","0","020",1,1,1,328.083,53.281,517.915,666.369,NA,44.716,21.647,23.207,47.134,21.857,23.35,141.713,22.211,60.766,NA,NA,NA,NA,NA,NA,1.882,NA,24.843,46.362,65.142,144.14,20.919,31.507,31.517,NA,NA,NA,16.799,27.569,30.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.569,32.007,285.415,219.258,1.843,NA,58.378,30.795,NA,NA,71.862,NA,1065.19,330.452,676.275,63.792,NA,173.079,NA,175.695,58.008,5311.718,3,2,"12"
"208","040717","020","0","0","010",5,5,5,138.232,25.038,569.697,NA,9.781,227.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.221,235.701,NA,1.685,NA,57.673,257.182,NA,NA,42.573,NA,691.081,NA,NA,NA,NA,223.392,NA,NA,56.519,2586.906,4,2,"12"
"209","040908","010","0","0","011",1,1,1,251.925,54.834,532.819,666.41,NA,48.531,21.583,17.894,41.542,18.674,28.407,135.782,25.631,46.737,NA,NA,NA,NA,NA,NA,2.496,NA,18.767,49.686,70.06,138.763,23.213,19.827,33.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,21.747,59.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.34,49.686,261.956,142.116,2209.193,210.772,62.057,297.242,NA,NA,24.071,NA,636.871,416.131,777.599,55.411,NA,254.64,NA,205.312,59.795,7624.501,4,2,"12"
"210","040908","011","0","0","010",5,5,5,75.526,65.962,461.998,576.65,NA,55.317,21.617,23.634,52.74,20.84,18.185,139.682,23.65,NA,NA,NA,NA,NA,NA,NA,2.234,NA,22.68,60.551,82.903,107.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.274,25.227,17.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.906,23.936,28.319,248.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.602,260.391,NA,2177.417,206.955,577.331,51.528,NA,NA,35.867,NA,431.249,449.751,NA,NA,NA,181.185,NA,362.259,284.925,6515.763,4,2,"12"
"211","041018","020","0","0",NA,1,1,1,804.727,218.853,1147.393,1144.639,NA,77.81,22.539,63.44,231.399,55.104,48.698,423.277,53.113,76.728,NA,NA,NA,NA,NA,NA,12.151,NA,31.435,61.184,113.258,140.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.274,19.459,32.042,NA,NA,NA,42.121,46.784,27.282,NA,NA,NA,NA,NA,NA,323.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,806.705,41.741,468.13,269.023,2.259,NA,73.143,792.756,NA,NA,69.448,NA,615.791,465.238,1418.97,84.075,286.649,251.152,NA,175.597,62.257,9210.605,3,2,"12"
"212","041027","020","0","0",NA,1,1,1,455.203,332.303,1811.258,1082.24,NA,94.378,22.832,32.797,139.722,32.888,65.49,303.547,33.717,86.096,NA,NA,NA,NA,NA,NA,3.834,NA,28.649,72.577,109.631,140.366,18.194,35.125,48.511,NA,NA,NA,NA,NA,NA,74.737,61.089,42.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712.835,72.102,436.456,576.457,1.765,NA,81.309,742.995,NA,NA,356.493,NA,1376.615,512.709,886.367,31.805,591.925,199.019,NA,223.142,110.344,10598.61,3,2,"12"
"213","041067","010","0","0","040",5,5,1,96.177,69.458,835.692,1189.13,NA,81.875,22.121,40.674,92.19,32.25,21.609,209.048,19.756,113.52,NA,NA,NA,NA,NA,NA,2.711,NA,43.243,61.812,107.212,218.168,112.93,48.457,58.566,54.176,34.065,74.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.585,351.025,215.158,1.38,NA,77,888.613,NA,NA,60.988,NA,761.099,498.659,623.825,26.632,NA,211.485,NA,324.333,81.98,6415.424,3,2,"12"
"214","041067","040","0","0","010",1,1,5,267.593,61.227,886.264,989.161,NA,58.139,22.303,50.222,93.125,26.239,65.139,262.373,45.635,138.589,NA,NA,NA,NA,NA,NA,3.992,NA,27.991,47.964,93.131,200.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.48,30.069,33.028,NA,NA,NA,29.84,20.056,16.662,NA,NA,NA,NA,NA,NA,354.141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.483,32.176,310.027,NA,1.437,NA,88.753,35.797,NA,NA,53.822,NA,690.81,394.009,NA,NA,NA,114.654,NA,129.958,91.929,4545.424,3,2,"12"
"215","041170","010","0","0",NA,1,1,1,192.629,87.515,677.338,705.284,NA,53.648,21.739,23.446,66.831,20.842,58.328,189.244,22.37,48.547,NA,NA,NA,NA,NA,NA,1.606,NA,19.11,56.332,74.631,115.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.928,52.775,22.574,NA,NA,NA,17.924,24.492,30.904,NA,NA,NA,NA,NA,NA,288.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.843,32.214,257.931,131.493,3027.821,171.414,113.257,36.099,NA,NA,25.178,NA,584.081,379.595,942.367,22.23,NA,187.871,NA,203.596,581.147,8841.382,4,2,"12"
"216","041238","010","0","0","040",1,5,1,951.397,121.59,770.181,965.578,NA,57.708,21.577,22.034,101.486,54.103,35.683,228.214,19.257,60.934,NA,NA,NA,NA,NA,NA,2.051,NA,16.36,57.206,80.004,112.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.742,23.169,96.123,NA,NA,NA,NA,NA,NA,20.295,30.206,41.8,NA,NA,NA,338.323,59.053,12.627,8.391,12.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.472,12.283,16.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.552,NA,314.519,268.303,188.567,3360.013,299.039,1296.608,71.055,NA,NA,31.652,NA,431.068,339.865,659.746,75.748,NA,126.858,NA,327.474,120.975,10725.862,3,2,"12"
"217","041238","040","0","0","010",5,1,5,211.165,48.616,630.073,618.304,NA,44.557,20.929,15.884,56.308,14.333,41.241,149.664,20.17,NA,NA,NA,NA,NA,NA,NA,1.319,NA,15.151,42.846,60.438,110.937,27.781,63.705,37.412,NA,NA,NA,10.579,30.25,35.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358.928,75.925,210.661,NA,2609.369,266.657,721.915,412.088,NA,NA,28.749,NA,403.617,337.715,NA,NA,NA,58.783,NA,241.063,437.277,7769.582,3,2,"12"
"218","041306","010","0","0","040",1,5,1,188.776,34.227,520.354,353.458,NA,43.867,21.88,15.756,41.215,15.6,19.141,110.417,17.145,53.789,NA,NA,NA,NA,NA,NA,1.451,NA,15.725,61.433,83.476,19.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.731,182.801,88.187,2252.027,694.008,69.279,NA,NA,NA,19.641,NA,605.078,269.553,427.675,7.534,NA,128.201,NA,155.548,56.847,6077.467,4,2,"12"
"219","041306","040","0","0","010",5,1,5,261.582,77.641,947.032,636.801,NA,67.361,22.097,46.925,80.403,29.484,28.969,204.672,25.506,74.521,NA,NA,NA,NA,NA,NA,1.529,NA,40.31,60.481,80.465,131.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446.457,27.192,403.511,NA,2709.45,357.95,121.961,NA,NA,NA,59.369,NA,750.954,353.075,NA,NA,NA,134.129,NA,256.09,112.211,7665.686,4,2,"12"
"220","041403","020","0","0",NA,1,1,1,540.214,198.76,676.448,NA,28.548,343.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731.469,27.534,750.081,297.336,1.685,NA,74.538,64.131,NA,NA,28.345,NA,906.908,NA,704.949,136.781,329.426,89.419,NA,NA,69.171,6006.198,4,2,"12"
"221","041855","030","0","0",NA,1,1,1,484.459,148.278,667.915,672.868,NA,58.984,20.849,18.377,56.488,22.854,26.208,155.953,25.599,70.59,NA,NA,NA,NA,NA,NA,2.948,NA,22.667,59.623,99.981,120.744,28.236,47.471,32.963,NA,NA,NA,4.352,1.935,2.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858.922,63.274,455.957,272.003,3196.36,444.039,142.912,32.12,NA,NA,60.357,NA,683.172,442.978,447.066,107.765,261.175,183.566,115.877,78.437,114.707,9939.168,3,2,"12"
"222","041979","010","0","0","020",1,5,1,184.439,104.973,684.576,784.143,NA,60.544,21.332,13.962,90.589,22.667,21.45,179.213,23.306,63.991,NA,NA,NA,NA,NA,NA,1.202,NA,19.797,58.672,89.342,164.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.657,47.439,30.14,19.531,17.238,24.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.924,385.944,299.162,1630.113,425.989,169.338,91.307,NA,NA,130.136,NA,577.965,367.599,596.233,26.551,NA,82.166,NA,55.1,259.224,6885.892,4,2,"12"
"223","041979","020","0","0","010",5,1,5,107.764,57.33,497.329,626.552,NA,39.687,21.083,15.803,52.9,19.484,12.105,124.566,17.971,42.745,NA,NA,NA,NA,NA,NA,16.38,NA,22.106,33.181,57.174,135.986,22.23,32.526,34.585,18.829,30.639,31.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.493,19.344,282.154,NA,1371.95,152.053,45.724,28.673,NA,NA,51.199,NA,427.082,271.971,NA,NA,NA,65.52,NA,19.62,51.309,4238.548,4,2,"12"
"224","042164","010","0","0","040",1,5,1,225.159,160.437,1362.317,764.34,NA,63.921,22.794,19.584,89.598,26.703,26.06,195.438,26.21,60.61,NA,NA,NA,NA,NA,NA,4.541,NA,24.197,63.357,95.54,132.824,33.787,33.12,43.068,15.573,21.965,15.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.005,392.272,432.777,3089.441,541.583,170.105,565.002,NA,NA,69.85,NA,767.829,582.714,495.541,47.837,NA,182.439,26.271,334.138,86.131,10337.499,3,2,"12"
"225","042164","040","0","0","010",5,1,5,852.121,49.42,685.7,NA,572.685,100.059,22.05,26.364,135.019,24.773,34.694,253.345,33.306,NA,NA,NA,NA,NA,NA,NA,6.724,NA,23.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.019,49.904,364.323,NA,2.465,NA,51.465,35.334,NA,NA,111.353,NA,735.12,NA,NA,NA,NA,78.733,NA,85.94,84.568,4072.692,3,2,"12"
"226","042281","010","0","0",NA,1,1,1,349.784,130.401,1137.07,795.901,NA,67.064,22.078,50.451,63.071,17.362,53.82,184.876,11.045,63.024,NA,NA,NA,NA,NA,NA,2.464,NA,16.209,64.116,89.076,109.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.271,29.843,44.148,NA,NA,NA,NA,NA,NA,40.919,27.409,41.637,NA,NA,NA,310.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.335,697.696,449.437,361.374,2766.698,414.802,227.074,455.583,NA,NA,50.997,NA,934.613,367.178,670.302,75.27,NA,130.37,75.566,536.871,74.646,11055.707,3,2,"12"
"227","042491","020","0","0",NA,1,1,1,500.837,116.47,715.627,NA,16.501,221.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.048,26.084,321.874,369.284,1.943,NA,51.187,30.42,NA,NA,52.563,NA,539.414,NA,434.493,53.094,282.772,137.015,NA,NA,54.605,4332.383,4,2,"12"
"228","042496","010","0","0","020",5,5,1,72.415,42.745,533.957,671.09,NA,57.549,20.99,18.002,45.755,17.987,18.018,129.605,29.203,92.446,NA,NA,NA,NA,NA,NA,1.138,NA,17.503,56.581,73.086,106.205,13.634,16.349,32.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.776,24.102,59.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.619,411.762,119.325,1.014,NA,651.364,241.831,NA,NA,44.897,NA,570.462,396.927,1010.273,134.363,NA,196.467,NA,242.003,106.112,5483.043,4,2,"12"
"229","042496","020","0","0","010",1,1,5,421.762,58.703,638.946,829.118,NA,90.402,21.255,32.869,73.648,22.074,7.519,149.573,25.99,87.531,NA,NA,NA,NA,NA,NA,1.763,NA,20.342,41.34,78.469,169.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.206,40.763,44.678,NA,NA,NA,17.394,32.37,39.484,NA,NA,NA,NA,NA,NA,362.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049.211,39.031,342.701,NA,1.28,NA,132.335,36.8,NA,NA,48.048,NA,964.971,423.432,NA,NA,NA,178.854,NA,273.453,126.844,5575.738,4,2,"12"
"230","042549","010","0","0",NA,1,1,1,240.49,96.783,780.609,729.091,NA,49.998,21.661,21.528,82.462,19.328,22.464,161.929,18.018,48.859,NA,NA,NA,NA,NA,NA,2.839,NA,17.753,46.379,66.737,123.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.906,40.342,53.633,NA,NA,NA,NA,NA,NA,23.727,47.69,41.168,NA,NA,NA,350.455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.417,36.395,474.708,142.507,2.589,NA,82.493,317.913,NA,NA,46.473,NA,797.225,427.316,569.604,57.735,NA,208.074,NA,267.01,99.263,6081.509,4,2,"12"
"231","042568","010","0","0",NA,1,1,1,507.936,123.693,729.333,923.326,NA,46.441,21.598,47.533,50.809,26.567,107.438,249.85,32.682,72.197,NA,NA,NA,NA,NA,NA,1.638,NA,30.701,60.887,85.161,146.687,25.132,35.818,67.844,NA,NA,NA,NA,NA,NA,55.677,30.435,33.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653.591,26.13,342.67,350.924,3071.691,302.375,299.293,28.72,NA,NA,50.637,NA,577.295,386.99,486.143,47.674,NA,115.643,NA,335.824,95.831,9469.697,3,2,"12"
"232","042753","010","0","0","020",1,1,1,356.118,198.385,559.636,783.924,NA,65.052,21.286,31.028,47.502,18.533,40.84,152.506,22.667,51.433,NA,NA,NA,NA,NA,NA,3.057,NA,20.889,63.274,91.198,119.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.731,22.682,42.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.886,44.397,50.467,362.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694.872,23.884,252.408,247.526,1.076,NA,51.184,71.276,NA,NA,36.863,NA,833.479,464.627,977.525,177.232,NA,200.008,NA,191.615,60.216,6186.378,3,2,"12"
"233","042753","020","0","0","010",5,5,5,85.285,58.953,546.562,776.983,NA,57.143,21.224,23.01,49.483,22.027,30.483,145.47,22.105,52.385,NA,NA,NA,NA,NA,NA,2.231,NA,18.72,63.383,86.455,111.525,20.108,20.202,18.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.994,56.457,94.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.26,227.588,NA,0.999,NA,441.309,154.206,NA,NA,40.935,NA,798.982,323.42,NA,NA,NA,153.63,NA,203.393,53.414,3920.977,3,2,"12"
"234","042887","030","0","0",NA,1,1,1,287.361,91.276,556.458,576.109,NA,59.633,22.277,29.381,45.857,18.047,47.227,153.442,22.477,41.297,NA,NA,NA,NA,NA,NA,1.919,NA,18.121,61.541,90.904,105.163,68.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.306,20.682,371.252,144.077,1572.298,789.43,88.926,254.594,NA,NA,32.001,NA,587.315,339.536,582.223,80.631,NA,185.257,NA,279.375,52.045,7448.874,4,2,"12"
"235","043257","010","0","0",NA,1,1,1,346.246,102.162,1195.817,1012.939,NA,56.156,21.791,73.137,69.015,22.712,35.272,202.451,51.438,60.418,NA,NA,NA,NA,NA,NA,4.049,NA,21.759,67.638,91.95,129.132,15.393,17.038,38.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.995,95.614,72.947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657.91,27.536,341.066,175.111,1.487,NA,986.383,532.651,NA,NA,76.074,NA,796.749,456.843,827.852,23.187,264.571,203.286,NA,274.995,56.455,8362.955,3,2,"12"
"236","043372","010","0","0","020",5,5,1,97.71,60.877,688.419,980.03,NA,56.177,22.108,22.043,78.489,23.692,35.17,204.144,40.309,71.269,NA,NA,NA,NA,NA,NA,1.898,NA,23.345,64.75,88.768,144.376,61.161,94.775,85.713,24.507,61.048,34.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.841,302.373,159.469,2.222,NA,71.144,399.068,NA,NA,37.077,NA,887.401,482.026,554.194,36.982,NA,108.024,NA,23.486,74.541,5021.34,3,2,"12"
"237","043372","020","0","0","010",1,1,5,357.046,76.784,773.371,963.22,NA,55.948,21.964,26.972,59.726,41.039,65.604,237.946,29.759,90.542,NA,NA,NA,NA,NA,NA,6.291,NA,38.273,32.878,55.626,243.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.706,36.004,27.652,26.544,20.621,34.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,451.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.842,22.068,421.982,NA,2.501,NA,98.821,41.301,NA,NA,49.579,NA,1000.126,457.535,NA,NA,NA,139.12,NA,34.703,70.736,5158.766,3,2,"12"
"238","043525","010","0","0","020",5,5,1,109.107,72.665,1122.936,926.026,NA,60.575,22.675,30.201,81.354,32.885,58.36,268.258,33.899,70.512,NA,NA,NA,NA,NA,NA,1.748,NA,58.126,66.94,88.904,168.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.876,28.828,33.182,NA,NA,NA,52.338,24.195,33.899,NA,NA,NA,NA,NA,NA,379.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.753,446.832,336.945,1.529,NA,87.843,103.787,NA,NA,104.973,NA,1183.106,609.961,884.022,34.398,NA,348.599,NA,225.311,105.955,6768.36,4,2,"12"
"239","043525","020","0","0","010",1,1,5,292.187,75.51,1116.891,916.985,NA,61.658,22.847,35.141,77.619,30.982,15.083,191.524,41.556,109.203,NA,NA,NA,NA,NA,NA,1.482,NA,26.284,60.585,99.504,205.326,28.902,36.26,30.49,29.254,29.386,29.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,793.109,26.268,457.097,NA,1.951,NA,775.259,93.489,NA,NA,86.823,NA,1013.322,477.749,NA,NA,NA,213.38,NA,238.528,73.303,6680.717,4,2,"12"
