"","HHID","PN","OSUBHH","NSUBHH","OPN_SP","OCSR","OFAMR","OFINR","OW303","OW311","OW314","OW306","OW310","OW309","OW312","OW319","OW320","OW321","OW307","OVDATE","OVERSION","year"
"26","013817","011","1","1","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"27","013817","040","2","2","041",5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"28","013817","041","2","2","040",1,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"29","014081","010","0","0","040",1,5,1,1,2,1,1,9,NA,NA,NA,NA,NA,1,6,2,"14"
"30","014332","010","1","1",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"31","014332","011","5","5",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"32","015189","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"33","015445","010","0","0","040",5,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"34","015445","040","0","0","010",1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"35","015497","010","0","0","040",1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"36","015497","040","0","0","010",5,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"37","015833","010","0","0","020",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"38","015833","020","0","0","010",1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"39","015836","010","0","0","020",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"40","015836","020","0","0","010",5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"41","015893","010","0","0","020",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"42","015893","020","0","0","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"43","016116","010","0","0","020",5,5,1,5,2,NA,NA,NA,NA,NA,1,1,1,1,4,2,"14"
"44","016116","020","0","0","010",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"45","016650","020","0","0","030",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"46","016650","030","0","0","020",5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"47","016996","020","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"48","017041","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"49","017209","010","0","0","011",1,1,1,5,2,1,1,4,NA,NA,NA,NA,NA,1,3,2,"14"
"50","017209","011","0","0","010",5,5,5,5,2,1,1,1,NA,NA,NA,NA,NA,1,4,2,"14"
"51","017383","010","1","1","012",5,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"52","017383","012","1","1","010",1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"53","017952","010","0","0","040",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"54","017952","040","0","0","010",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"55","018155","030","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"56","018175","020","0","0","030",5,5,5,1,2,1,1,1,NA,NA,NA,NA,NA,1,3,2,"14"
"57","018175","030","0","0","020",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"58","018245","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"59","018435","040","1","1","042",1,1,5,1,2,1,1,9,NA,NA,NA,NA,NA,1,3,2,"14"
"60","018435","042","1","1","040",5,5,1,1,2,1,1,4,NA,NA,NA,NA,NA,1,3,2,"14"
"61","018525","020","0","0","030",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"62","018525","030","0","0","020",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"63","018776","010","0","0","040",1,1,1,1,2,1,1,1,NA,NA,1,1,9,1,3,2,"14"
"64","018776","040","0","0","010",5,5,5,5,2,1,1,1,NA,NA,NA,NA,NA,2,6,2,"14"
"65","018782","010","0","0","040",5,5,1,1,2,NA,NA,NA,NA,NA,1,1,4,1,3,2,"14"
"66","018782","040","0","0","010",1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"67","019535","020","0","0","030",5,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"14"
"68","019535","030","0","0","020",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"69","019629","020","0","0","030",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"70","019629","030","0","0","020",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"71","019950","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"72","020155","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"73","020315","020","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"74","020455","020","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"75","020862","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"76","021003","010","0","0","020",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"77","021003","020","0","0","010",5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"78","021166","010","0","0","020",1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"79","021166","020","0","0","010",5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,"14"
"80","021242","040","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"81","021268","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"82","021587","010","0","0","040",5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"83","021587","040","0","0","010",1,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"84","021873","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"85","021928","010","0","0","020",1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"86","021928","020","0","0","010",5,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,"14"
"87","022566","010","0","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"88","022589","010","0","0","040",5,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"89","022589","040","0","0","010",1,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"90","022602","040","1","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"91","023212","010","0","0","020",5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"92","023212","020","0","0","010",1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"93","023425","010","0","0","020",1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"94","023425","020","0","0","010",5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"14"
"95","023597","010","0","0","020",5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"96","023597","020","0","0","010",1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"97","023605","020","0","0","030",5,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"98","023605","030","0","0","020",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"99","023677","010","0","0","011",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"14"
"100","023677","011","0","0","010",5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"101","023831","010","1","0",NA,1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,"14"
"102","023831","040","2","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"103","023913","010","0","0",NA,1,1,1,5,2,1,1,1,NA,1,NA,NA,NA,1,3,2,"14"
"104","024231","010","0","0","020",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"105","024231","020","0","0","010",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"106","024650","020","0","0","030",5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"107","024650","030","0","0","020",1,5,1,5,2,1,1,3,NA,NA,1,1,9,1,3,2,"14"
"108","024884","020","0","0",NA,1,1,1,5,2,1,1,4,NA,4,NA,NA,NA,1,2,2,"14"
"109","025081","010","0","0","020",1,5,1,1,2,1,1,1,NA,NA,NA,NA,NA,1,3,2,"14"
"110","025081","020","0","0","010",5,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"111","025411","010","0","0","040",1,5,1,1,2,1,1,1,NA,NA,NA,NA,NA,1,4,2,"14"
"112","025411","040","0","0","010",5,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,"14"
"113","025575","010","0","0","040",5,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"114","025575","040","0","0","010",1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"115","030146","010","0","0",NA,1,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"116","030701","010","0","0",NA,1,1,1,5,2,1,1,4,5,NA,NA,NA,NA,1,6,2,"14"
"117","030904","010","0","0","020",1,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"118","030904","020","0","0","010",5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"119","031337","010","0","0","040",1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,"14"
"120","031337","040","0","0","010",5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,"14"
"121","031633","020","0","0",NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,"14"
"122","031890","010","1","0",NA,1,1,1,5,1,1,1,5,NA,NA,NA,NA,NA,NA,2,2,"14"
"123","032014","010","0","0","040",1,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"124","032014","040","0","0","010",5,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"14"
"125","032157","010","0","0","020",1,1,5,1,2,1,1,1,NA,NA,NA,NA,NA,1,3,2,"14"
"126","032157","020","0","0","010",5,5,1,1,2,1,1,9,NA,NA,NA,NA,NA,1,3,2,"14"
"127","032378","010","0","0",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,"14"
"128","032379","010","0","0","020",1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"129","032379","020","0","0","010",5,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"130","032443","010","0","0","020",5,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"131","032443","020","0","0","010",1,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,"14"
"132","032449","010","7","7","040",1,1,1,5,2,1,1,1,NA,NA,NA,NA,NA,1,3,2,"14"
