"","HHID","PN","MSUBHH","LSUBHH","MPN_SP","MCSR","MFAMR","MFINR","MY005","MY006","MY007","MY008","MY009","MY010","MY011","MY012","MY013","MY014","MY015","MY016","MY017","MY018","MY019","MY020","MY021","MY022","MY023","MY024","MY025","MY026","MY027","MY028","MY029","MY030","MY031","MY032","MY033","MY034","MY035","MY036","MY037","MY038","MY039","MY040","MY041","MY042","MY043","MY044","MY045","MY046","MY047","MY048","MY049","MY050","MY051","MY052","MY053","MY054","MY055","MY056","MY057","MY058","MY059","MY060","MY061","MY062","MY063","MY064","MY065","MY066","MY067","MY068","MY069","MY070","MY071","MY072","MY073","MY074","MY075","MY076","MY077","MY078","MY079","MY080","MY081","MVDATE","MVERSION","year"
"11","012394","010","0","0",NA,1,1,1,402.682,186.975,796.646,1073.664,NA,80.043,21.387,38.404,107.646,20.226,24.188,232.378,41.718,64.513,12.306,14.393,26.484,19.299,18.288,90.77,0.964,63.558,37.008,61.298,79.058,103.394,54.359,84.558,46.631,45.034,31.512,37.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.589,512.084,23.977,319.033,122.509,1.69,114.257,NA,NA,72.345,NA,1204.119,317.124,983.65,55.104,NA,20.356,NA,330.185,68.379,6608.713,7,5.1,"10"
"12","012979","010","0","0","020",5,5,1,72.639,65.514,435.036,1188.834,NA,49.25,21.265,66.519,85.781,24.897,91.332,263.265,33.907,75.947,36.733,18.093,14.159,13.629,57.64,140.254,2.416,170.369,25.528,64.414,89.9,52.632,42.08,85.894,27.182,NA,NA,NA,33.936,20.881,47.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309.649,NA,25.112,293.867,123.847,2526.131,72.286,NA,NA,23.497,NA,857.114,338.12,827.966,25.749,NA,22.209,NA,387.804,302.584,8008.983,7,5.1,"10"
"13","012979","020","0","0","010",1,1,5,403.075,72.72,792.003,767.726,NA,52.959,21.44,32.395,69.631,34.685,39.409,218.038,39.131,63.788,34.318,13.046,8.731,24.563,19.696,100.354,2.091,98.275,35.182,60.251,85.994,92.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.392,654.292,101.367,411.853,NA,3387.441,1082.309,NA,NA,113.92,NA,1093.787,355.775,NA,NA,NA,30.676,NA,720.454,770.379,11240.071,7,5.1,"10"
"14","013062","010","0","0",NA,1,1,1,329.537,99.73,673.609,803.712,NA,40.161,21.195,41.14,64.33,22.143,50.763,189.249,29.071,103.934,7.991,8.367,13.631,12.061,12.869,54.919,3.272,97.799,21.14,61.068,90.618,49.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.445,16.988,17.123,NA,NA,NA,18.13,28.093,14.27,NA,NA,NA,NA,NA,NA,161.425,469.492,18.333,259.806,624.134,2.55,420.274,NA,NA,58.321,NA,751.711,201.952,610.912,41.312,NA,121.975,NA,171.731,113.122,5780.145,7,5.1,"10"
"15","013063","010","0","0",NA,1,1,1,269.231,85.833,504.596,953.504,NA,51.796,21.594,46.961,71.064,25.995,69.19,211.139,16.745,51.211,8.801,10.341,11.411,19.356,14.08,63.989,3.552,182,25.784,60.926,79.203,58.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.378,50.472,27.424,27.624,13.672,13.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.059,288.026,21.508,385.486,325.38,2981.975,2180.302,NA,NA,51.481,NA,806.612,268.085,845.459,45.808,NA,87.22,NA,255.381,416.798,11146.874,7,5.1,"10"
"16","013208","010","0","0","040",5,1,1,179.334,64.093,422.761,799.717,NA,49.732,22.575,21.43,87.187,30.232,51.748,233.391,35.876,83.92,5.921,4.7,4.705,9.607,20.248,45.181,3.269,67.546,24.613,42.436,63.864,77.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.606,22.209,22.786,20.208,20.929,21.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.809,451.125,35.123,323.404,112.258,3513.553,806.198,NA,NA,31.756,NA,620.258,300.988,682.309,23.662,NA,56.403,NA,93.289,123.426,9772.913,7,5.1,"10"
"17","013208","040","0","0","010",1,5,5,273.771,72.395,505.971,963.675,NA,69.259,22.708,26.381,58.029,24.077,36.795,182.616,30.835,80.111,8.544,8.425,8.899,8.22,7.524,41.612,2.067,130.014,29.223,53.382,88.011,129.949,65.611,34.74,29.023,18.912,15.548,27.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320.896,NA,109.927,386.528,NA,3333.737,1059.745,NA,NA,33.841,NA,644.994,355.963,NA,NA,NA,85.42,NA,415.708,124.094,9224.448,7,5.1,"10"
"18","013211","010","0","0","020",1,1,1,339.556,77.493,826.325,978.579,NA,70.087,22.086,23.877,75.348,27.126,62.201,220.559,25.523,83.165,14.113,10.904,8.806,11.942,16.15,61.915,1.597,74.842,25.415,62.47,80.075,74.737,56.383,80.008,51.802,NA,NA,NA,19.719,15.568,42.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.376,571.827,366.765,447.215,247.629,3665.291,74.074,NA,NA,84.077,NA,787.272,493.023,1159.315,94.042,NA,113.72,NA,208.069,234.796,11084.061,5,5.1,"10"
"19","013318","010","0","0","020",5,1,1,249.493,110.155,780.153,1174.89,NA,58.104,21.764,46.29,92.035,29.18,65.019,294.773,60.826,89.673,19.595,13.669,21.081,18.731,17.515,90.591,4.215,199.467,45.697,64.207,88.469,53.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.246,31.258,33.988,44.523,26.104,29.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.544,429.045,42.239,855.299,548.99,1.498,1315.157,NA,NA,72.149,NA,2192.358,761.916,1353.193,625.539,NA,32.083,414.543,288.067,134.892,11403.366,7,5.1,"10"
"20","013318","020","0","0","010",1,5,5,375.038,108.092,401.253,1043.161,NA,47.696,21.809,40.684,80.141,21.552,72.364,230.067,31.931,90.129,22.499,19.195,20.268,7.986,21.828,91.776,5.802,78.252,22.121,61.294,83.298,89.462,31.397,47.832,113.377,21.001,25.147,25.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353.648,NA,40.061,261.111,NA,1.111,1137.496,NA,NA,33.818,NA,932.319,388.69,NA,NA,NA,19.842,NA,159.195,48.987,4954.968,7,5.1,"10"
