"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"29","013817","011","1","1","010",1,1,5,14,0,1,NA,NA,NA,100,100,50,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,60,20,NA,10,5,0,50,2,0,NA,50,70,NA,2,50,50,2,NA,3,NA,NA,3,1,1,2,"12"
"30","013817","040","2","2","041",5,1,1,16,0,1,60,2,50,100,100,20,NA,1,10,75,NA,NA,NA,0,90,NA,NA,100,NA,50,NA,NA,100,NA,75,0,NA,60,NA,10,NA,90,50,2,1,NA,NA,3,4,3,NA,NA,3,1,4,2,"12"
"31","013817","041","2","2","040",1,5,5,12,0,1,NA,NA,NA,0,NA,NA,50,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,50,30,NA,0,NA,0,100,NA,100,NA,100,10,NA,2,10,20,3,NA,1,1,NA,1,1,4,2,"12"
"32","014081","010","0","0","040",1,5,1,15,0,1,10,1,50,100,100,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,10,NA,10,10,10,5,NA,10,NA,25,10,NA,2,10,45,2,NA,2,NA,1,3,1,4,2,"12"
"33","014332","010","1","1",NA,1,1,1,16,0,1,10,2,10,80,50,10,NA,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,70,10,NA,0,NA,0,70,NA,60,NA,70,20,NA,2,10,50,3,NA,1,1,NA,3,1,3,2,"12"
"34","014332","011","5","5",NA,1,1,1,17,1,1,80,2,30,100,100,10,NA,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,90,90,NA,10,0,0,998,NA,50,NA,50,100,NA,2,6,NA,2,NA,1,1,NA,3,1,4,2,"12"
"35","015189","010","0","0",NA,1,1,1,3,3,1,NA,NA,NA,998,NA,NA,NA,0,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,"12"
"36","015445","010","0","0","040",5,1,5,13,0,1,NA,NA,NA,80,80,30,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,2,50,30,NA,30,30,30,80,NA,50,NA,70,50,2,1,NA,NA,2,NA,1,5,NA,3,1,4,2,"12"
"37","015445","040","0","0","010",1,5,1,17,0,1,10,2,10,80,70,10,NA,1,50,20,NA,NA,NA,NA,50,15,NA,NA,NA,8,NA,5,50,NA,5,3,30,90,NA,NA,75,90,40,NA,2,40,25,3,NA,2,NA,5,2,1,1,2,"12"
"38","015497","010","0","0","040",1,5,1,14,1,1,100,2,0,80,80,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,50,0,100,NA,NA,0,20,NA,50,NA,100,0,NA,2,NA,0,3,NA,1,1,NA,3,1,4,2,"12"
"39","015497","040","0","0","010",5,1,5,13,1,1,NA,NA,NA,100,60,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,998,NA,20,20,NA,20,0,30,60,NA,100,NA,80,50,2,1,NA,NA,2,NA,1,1,NA,1,1,4,2,"12"
"40","015833","010","0","0","020",5,5,1,15,2,1,NA,NA,NA,90,10,0,NA,1,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,998,60,NA,40,20,998,75,NA,10,NA,90,60,NA,2,10,25,2,NA,2,NA,5,2,1,4,2,"12"
